name,address,city,stars,review_count,categories,latitude,longitude,price
Avari Towers Karachi,"242-244 Fatima Jinnah Rd, Karachi Cantonment, Sindh 75530",Karachi,4.4,"8,315",Hotel,24.8527,67.0323,"13,671"
Country Inn,"19-1-B, Block 6, P.E.C.H.S adj. Bank Al Habib, Off. Main,Sindh 74400",Karachi,3.9,938,Hotel,24.8606,67.0679,"9,605"
Zifan Hotel and Suites,"29B, Off Shahrah-e-Faisal Rd, Block-6 Block 6 PECHS, Sindh 75400",Karachi,4.3,546,Hotel,24.8606,67.0679,"8,475"
Regent Plaza,"Main Shahrah-e-Faisal Rd, Karachi Cantonment,Sindh",Karachi,3.9,"4,002",Hotel,24.8551,67.0399,"10,271"
Days Inn Karachi,"164, B.C، H.S Shahrah-e-Faisal Rd, Darwaish Colony, Sindh 75400",Karachi,3.8,"1,065",Hotel,24.8673,67.0842,"8,475"
"Embassy Inn, Karachi","100، B، MAIN Shahrah-e-Faisal Rd, Block B Sindhi Muslim CHS (SMCHS), Sindh 74400",Karachi,4,"1,607",Hotel,24.8593,67.0579,"21,043"
Hotel Faran,"8-A Shahrah-e-Faisal Rd, PECHS Extension Block 6 PECHS, Sindh 75400",Karachi,3.8,"1,164",Hotel,24.8599,67.0627,"6,926"
"Hotel Mehran","Shahrah-e-Faisal, Karachi Cantonment Karachi, Karachi City, Sindh, Pakistan",Karachi,3.9,"3,773",Hotel,24.8516,67.0339,"6,215"
Royal Inn Hotel,"12-D, block, 6, P.E.C.H.S. Block 6 PECHS, Karachi, Karachi City, Sindh 75400, Pakistan",Karachi,3.8,600,Hotel,24.8595,67.0645,"6,141"
Tower Bus stop,"M.A Jinnah Rd, Ghulam Hussain Kasim Quarters, Sindh, Pakistan",Karachi,5,1,Rest stop,24.8479,66.9954,
"Commerce College Stop","Dr Ziauddin Ahmed Rd, Civil Lines, Sindh, Pakistan",Karachi,3.9,8,Rest stop,24.8476,67.0234,
"Public Sitting Area","Regal Chowk, Preedy St, Sindh, Pakistan",Karachi,5,1,Rest stop,24.8603,67.0253,
"Bus Stop Moro Sukkur Larkana","Central Jacob Lines Karachi, Karachi City, Sindh, Pakistan",Karachi,3.8,25,Rest stop,24.8661,67.0289,
Taj Hotel Bus Stop,"23 Dr Ziauddin Ahmed Rd, Civil Lines Kashmir Mujahid Colony, Sindh, Pakistan",Karachi,3.5,13,Rest stop,24.8441,67.0283,
Bab e Abubaker Siddique R.A,"Sokan Nala, Bin Qasim Town, Karachi, Karachi City, Sindh, Pakistan",Karachi,5,1,Rest stop,24.8647,67.2134,
Star Lodge Hotel,"Adamjee Dawood St, Mithadar, Karachi, Karachi City, Sindh, Pakistan",Karachi,4.3,12,Hotel,24.8518,66.9986,"7,797"
Beach Luxury Hotel,"Moulvi Tamizuddin Khan Rd, Lalazar Karachi, Sindh 74000, Pakistan",Karachi,4.2,"6,478",Hotel,24.8434,66.9955,"9,039"
